no,"sex(male:1,female:0)",age,height,weight,bmi,preference, experimental environment,sensitivity,date,time,room((meeting:1 reception:2 drinks:3)),thermal sensation,thermal comfort(com:1 discom:0),thermal preference (C:1 U:2 W:3),seat number,temp,humid
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,15:00:00,1.0,1.0,0.0,1.0,12.0,25.4,16.3
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,15:30:00,1.0,1.0,0.0,1.0,12.0,25.3,17.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,16:00:00,1.0,0.5,1.0,2.0,12.0,25.2,18.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,16:30:00,1.0,0.5,1.0,2.0,12.0,25.1,18.0
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,17:00:00,1.0,0.0,1.0,2.0,12.0,25.1,18.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/18,17:30:00,1.0,0.0,1.0,2.0,12.0,25.0,18.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,9:00:00,3.0,0.0,1.0,2.0,9.0,22.1,13.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,9:30:00,3.0,1.0,1.0,2.0,9.0,22.5,14.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,10:00:00,3.0,1.0,1.0,1.0,9.0,23.0,16.8
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,10:30:00,3.0,0.0,1.0,2.0,9.0,23.4,17.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,11:00:00,3.0,1.5,0.0,1.0,9.0,25.6,15.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,11:30:00,3.0,2.5,0.0,1.0,9.0,26.6,15.3
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,12:00:00,3.0,2.5,0.0,1.0,9.0,27.1,14.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,14:30:00,3.0,2.5,0.0,1.0,9.0,27.5,11.3
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,15:00:00,3.0,3.0,0.0,1.0,9.0,27.9,13.2
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,15:30:00,3.0,2.5,0.0,1.0,9.0,27.6,11.0
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,16:00:00,3.0,2.0,0.0,1.0,9.0,25.9,11.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,16:30:00,3.0,1.0,1.0,1.0,9.0,25.9,15.2
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,17:00:00,3.0,0.5,1.0,1.0,9.0,25.8,16.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/17,17:30:00,3.0,0.5,1.0,1.0,9.0,25.6,16.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,9:00:00,2.0,-3.0,0.0,3.0,3.0,17.1,18.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,9:30:00,2.0,-2.0,0.0,3.0,3.0,18.4,19.8
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,10:00:00,2.0,-1.9,0.0,3.0,3.0,22.4,15.4
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,10:30:00,2.0,-2.2,0.0,3.0,3.0,23.9,14.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,11:00:00,2.0,-1.3,0.0,3.0,3.0,27.1,12.2
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,11:30:00,2.0,-0.2,0.0,3.0,3.0,25.3,14.4
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,12:00:00,2.0,0.0,1.0,3.0,3.0,26.0,14.1
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,14:30:00,2.0,1.0,1.0,2.0,3.0,26.3,13.4
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,15:00:00,2.0,0.0,1.0,2.0,3.0,26.9,13.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,15:30:00,2.0,0.3,1.0,2.0,3.0,27.5,13.1
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,16:00:00,2.0,0.7,1.0,1.0,3.0,24.0,16.5
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,16:30:00,2.0,0.2,1.0,2.0,3.0,23.1,17.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,17:00:00,2.0,0.0,1.0,2.0,3.0,22.7,18.5
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/9,17:30:00,2.0,0.0,1.0,2.0,3.0,22.4,18.5
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,9:00:00,3.0,0.0,1.0,2.0,7.0,22.0,14.8
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,9:30:00,3.0,1.0,1.0,1.0,7.0,22.3,16.2
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,10:00:00,3.0,-1.0,0.0,3.0,7.0,22.9,17.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,10:30:00,3.0,0.0,0.0,2.0,7.0,25.1,16.6
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,11:00:00,3.0,1.0,0.0,1.0,7.0,26.2,16.2
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,11:30:00,3.0,1.2,0.0,1.0,7.0,27.0,16.0
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,12:00:00,3.0,2.0,0.0,1.0,7.0,27.5,15.8
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,14:30:00,3.0,2.2,0.0,1.0,7.0,26.5,12.8
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,15:00:00,3.0,3.0,0.0,1.0,7.0,27.1,14.0
21,0,25,162.0,50.0,19.05197378,-1,1,2,2021/1/13,15:30:00,3.0,3.0,0.0,1.0,7.0,27.6,15.4
