ÊµÑéÈËÔ±±àºÅ,ÄêÁä,Éí¸ß,ÌåÖØ,BMI,ÈÕÆÚ,Ê±¼ä,ÎÂ¶È£¨¡æ£©,Êª¶È£¨%£©,ÈÈÊæÊÊ½ÓÊÜ³Ì¶È£¨-3~3£©,ÈÈ¸Ğ¾õ£¨-3~3£©,ÓĞÎŞ·ç¸Ğ
1,22,164,45,16.73111243,2018/7/21,8:50:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/21,9:00:00,28.3,54,-2,2,0
1,22,164,45,16.73111243,2018/7/21,9:30:00,27.1,48,-0.5,1,0
1,22,164,45,16.73111243,2018/7/21,10:00:00,26.8,45,0,0.5,0
1,22,164,45,16.73111243,2018/7/21,10:30:00,26.8,46,0,0.5,0
1,22,164,45,16.73111243,2018/7/21,11:00:00,26.8,45,0,0.5,0
1,22,164,45,16.73111243,2018/7/21,11:30:00,nan,nan,-2,-2,1
1,22,164,45,16.73111243,2018/7/21,12:00:00,nan,45,-2,-2,1
1,22,164,45,16.73111243,2018/7/21,14:20:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/21,14:30:00,29.9,50,-2,2.5,0
1,22,164,45,16.73111243,2018/7/21,15:00:00,24.8,44,3,0,1
1,22,164,45,16.73111243,2018/7/21,15:30:00,24.4,45,2,-0.5,1
1,22,164,45,16.73111243,2018/7/21,16:00:00,24.2,46,-1,-1.5,1
1,22,164,45,16.73111243,2018/7/21,16:30:00,24.2,49,-1,-1.5,1
1,22,164,45,16.73111243,2018/7/21,17:00:00,24.5,46,-1.5,-1,1
1,22,164,45,16.73111243,2018/7/21,17:30:00,24.1,46,-1,0,1
2,22,178,65,20.51508648,2018/7/7,8:50:00,27.9,57,2.2,0,0
2,22,178,65,20.51508648,2018/7/7,9:00:00,27.9,57,2.2,0,0
2,22,178,65,20.51508648,2018/7/7,9:30:00,26.9,59,2.4,-0.3,0
2,22,178,65,20.51508648,2018/7/7,10:00:00,26.4,56,0.5,-1,0
2,22,178,65,20.51508648,2018/7/7,10:30:00,26.1,55,2.2,-0.5,0
2,22,178,65,20.51508648,2018/7/7,11:00:00,25.8,54,1.9,-0.9,0
2,22,178,65,20.51508648,2018/7/7,11:30:00,25.1,48,0.3,-1,0
2,22,178,65,20.51508648,2018/7/7,12:00:00,25.2,48,-0.5,-1,0
2,22,178,65,20.51508648,2018/7/7,14:20:00,24.4,55,0.6,0.3,0
2,22,178,65,20.51508648,2018/7/7,14:30:00,25.2,50,1.2,0.8,0
2,22,178,65,20.51508648,2018/7/7,15:00:00,25,48,0.5,1,0
2,22,178,65,20.51508648,2018/7/7,15:30:00,27.8,50,2.7,0.2,0
2,22,178,65,20.51508648,2018/7/7,16:00:00,27.6,51,0.2,0.1,0
2,22,178,65,20.51508648,2018/7/7,16:30:00,26.6,52,0.4,-0.8,0
2,22,178,65,20.51508648,2018/7/7,17:00:00,26.6,42,0,-0.7,0
2,22,178,65,20.51508648,2018/7/7,17:30:00,25.4,45,-0.4,-1,0
2,22,178,65,20.51508648,2018/7/8,8:50:00,22.7,65,0.5,-1.2,0
2,22,178,65,20.51508648,2018/7/8,9:00:00,22.9,64,2.2,0,0
2,22,178,65,20.51508648,2018/7/8,9:30:00,23.8,55,0.7,-0.4,0
2,22,178,65,20.51508648,2018/7/8,10:00:00,24.8,56,2.2,1,0
2,22,178,65,20.51508648,2018/7/8,10:30:00,26.3,61,1.7,0.5,0
2,22,178,65,20.51508648,2018/7/8,11:00:00,26.8,65,2.1,0,0
2,22,178,65,20.51508648,2018/7/8,11:30:00,27.1,62,2.8,0,0
2,22,178,65,20.51508648,2018/7/8,12:00:00,27.3,61,2.4,0,0
2,22,178,65,20.51508648,2018/7/8,14:20:00,23.7,58,0.5,-0.5,0
2,22,178,65,20.51508648,2018/7/8,14:30:00,24.1,57,1.6,-0.4,0
2,22,178,65,20.51508648,2018/7/8,15:00:00,nan,nan,nan,nan,nan
2,22,178,65,20.51508648,2018/7/8,15:30:00,26.4,57,2.4,0,0
2,22,178,65,20.51508648,2018/7/8,16:00:00,26.9,59,2.7,0,0
2,22,178,65,20.51508648,2018/7/8,16:30:00,27.1,60,2.5,0,0
2,22,178,65,20.51508648,2018/7/8,17:00:00,27,62,2.5,0,0
2,22,178,65,20.51508648,2018/7/8,17:30:00,27.1,63,2.4,0,0
